Simulation_ID,AI_Adaptive_Traffic_Optimization,AI_Anomaly_Detection,AI_Agent_Collaboration_Efficiency,Multi_Agent_DT_Synchronization_Time,AI_Driven_Network_Load_Balancing
1,82.02681975138037,87.87228838949079,81.18266308924629,1.1206301320168728,65.8863705101811
2,93.16191942980592,81.15167717491883,87.68313235903588,0.8102607466499664,66.67068785128392
3,89.99362673477195,83.74058644876786,72.27560511188976,1.543725421999444,68.57718269130704
4,81.92875163905218,88.68267237035755,84.18673781368695,1.4925466685171385,75.09088834541063
5,80.989178564969,86.91002779699501,86.19609795347682,1.8179772154150076,83.89871047314759
6,86.26791468108948,96.6963653069908,88.72886020846676,0.8187544200062689,67.65887357619145
7,90.53384935943174,87.47390511659022,75.48096620199914,1.4939261540841355,74.87685267383925
8,92.18708393920281,93.40411014273371,72.47481134240775,1.1818587132307112,73.50803807179702
9,77.12635638702412,81.12948204248059,80.7442828020787,0.540202694285483,74.63966367626243
10,75.87605197662684,87.90189681935225,89.10162084195525,1.806769204741279,74.64843879308417
11,77.18717681760944,84.56996687900153,81.51685693237178,1.5472461013842396,83.60960053450336
12,91.75847405271908,80.05825208611574,89.63262582483598,1.7455564977087408,72.8646541234747
13,85.77385365821492,92.45092714422364,70.57258978169986,0.5187466619657333,73.07987026187294
14,89.92593050983098,89.95164594033409,88.49657874849211,1.2995717250076655,69.59014181996676
15,79.99393158341204,93.53434913383164,82.18966097855525,1.6383515391764247,73.86610890422529
16,90.61549320486951,92.80383646645922,80.24741489124702,1.7274275829616015,80.73616608271381
17,90.70374811925275,90.62900865771176,71.09253148878393,0.5518933921558824,81.15924424534317
18,93.8368350091964,96.55610580425562,74.010574721448,0.5469227514768917,73.71124008488607
19,84.46379509251508,85.49441983297089,78.98550393628798,1.729178678873862,78.77015749411417
20,82.74231247301643,96.70468143631018,86.7441196359863,1.7993111986391896,75.00010122092424
21,77.41571783765146,97.4206371794659,73.09631858856795,1.1534759184466092,75.5056231554938
22,89.63050888577968,88.63200685934103,79.82915108431268,1.8799979152992334,77.17645176915104
23,79.34718992322429,89.26974825648153,84.15298936091331,1.9775962611599192,72.33431415809885
24,80.87656513810381,96.18858251759684,84.6635925209515,1.595620464274883,69.58563576909029
25,89.16497421732885,80.89948602647266,71.91728006512463,0.5359928123132731,76.01416415967537
26,87.90634187273182,87.87199208725434,77.61319195378537,0.839530563131811,72.30416953429253
27,91.87647434320893,80.88504930316253,72.01424650397104,1.5403781150551676,76.70780269182727
28,93.58711068863693,80.86209928045021,71.54360296480242,0.8008504689900976,80.84103105255878
29,94.04771643277886,91.7852291361927,71.99424676325908,0.5161652025490444,70.82563963693619
30,89.20576840008201,83.16612235025644,80.80851124969121,0.898809331777596,68.9012584866762
31,82.42931568364328,86.21990617452924,86.70761220423776,1.7965644861033248,72.4681968587198
32,76.56423106878862,86.86194678377751,89.78301827855542,0.9518631569708357,66.76145454443585
33,76.6873533864204,84.90173081382407,72.12243369857325,1.0840395201192563,78.30530137583689
34,78.91904753275607,93.59543709591273,86.77053499381273,1.1094032404923453,65.089550108332
35,82.135067938806,85.31435592473787,82.93817796951159,0.8252182997964539,69.47814692472633
36,82.99349716584281,81.49353493415434,74.56011253235732,1.8487621160955843,81.9464789577193
37,93.74005335424147,92.71214980080029,89.00358496424496,0.8320064902691924,71.15010594602136
38,75.22453086916522,82.54090421935393,74.97494559226323,0.9985547748941397,73.57648125805258
39,89.53597216135806,90.66724405979647,76.86504984530536,0.9214587118020496,76.08553028031106
40,76.2518473169938,88.51256026894022,72.62487850920063,1.5563477723238146,76.63103888414199
41,87.89360110070068,83.49468001883591,83.74116205313662,1.1314862298864323,81.50666615938384
42,85.54407512611974,94.88945695318509,73.48498737491958,0.6553124291925989,76.49314207493597
43,91.22173712110519,86.18776273705876,77.53382648162601,1.8914466527489278,72.31673824287985
44,94.69312030872052,89.94553372603522,72.66210338708723,1.2641455399674224,79.85245782744754
45,82.71787574809417,87.65913596283222,79.17955945346756,0.540320655610274,80.30184657964791
46,91.59607311864669,88.18456507011152,89.69605432598357,0.5371555149680758,71.18561355867968
47,86.16667046215409,94.90916499184078,70.3003155666296,1.1502445776384698,79.47223659514427
48,88.08346608581134,80.72410522673457,83.93784015595044,1.076264918514729,76.51297892334821
49,89.80599373711101,91.61047928296763,71.42732097860043,0.9746816022197848,82.29597383070488
50,91.48911590383845,81.08505867602456,71.9320602727706,1.561095012322384,71.9508127368915
