Simulation_ID,Device_Type,V2DT_Synchronization_Delay,Digital_Twin_Model_Drift,Computational_Overhead_of_Edge_Processing,V2DT_Data_Consistency_Score,Edge_Assisted_DT_Reconstruction_Time,AI-Based_Predictive_Digital_Twin_Divergence,Energy_Consumption_RaspberryPi_RSUs
1,OBU,1.358277620048772,0.13642971671907306,17.941777201536514,81.73420554473313,2.37063979499786,0.387841627886235,7.81884387405697
2,RSU,0.2338835549086023,0.04960831834354695,48.663252329885566,87.95366599304785,1.4577511757874893,0.38027320003909787,6.368267302517632
3,RSU,0.12616180680339253,0.17528211532874027,37.38792135105301,80.2568864768636,4.104969455730047,0.2697032082521196,18.956133037043237
4,RSU,0.6816107409531214,0.15384070152324383,62.51074460149108,91.40225738112767,1.6434840098766779,0.19973507514783312,6.191430820880442
5,OBU,0.9234968642503445,0.16097342044191182,43.90355183223508,88.0165781123524,3.063946992209831,0.2912068555388473,19.940566859449454
6,RSU,1.2876594733650748,0.013878828493518075,61.23240291412764,89.09079731962551,1.1733130381634562,0.3505860477120232,19.440596115132863
7,RSU,1.1199113194117098,0.10127040373407892,10.979818919095214,82.74835598397112,1.494938660058719,0.33377303089599825,7.2839811993160035
8,RSU,1.3610221325988425,0.12902542537480366,14.178946300257177,98.26193166271953,1.5393753992990988,0.32781865852101383,16.382224245583927
9,OBU,0.15646755673030527,0.07916821877676539,73.76067031899564,80.32472070605118,1.118906093829072,0.32123618052228053,14.314653637946195
10,OBU,1.0888028233288236,0.19366855137456435,14.177504141424603,97.48674218873477,3.0089459102698908,0.09428706257443539,11.623648809997963
11,RSU,0.7511257625906501,0.1258478052390761,51.91269596618212,93.46317085388938,3.8458823297131466,0.25506703419558674,5.356168055029259
12,OBU,1.1099113065603783,0.12948322832316322,24.861583449129334,88.64192075560219,2.024606898862544,0.2732647111171411,5.825497914157327
13,RSU,0.9902040063585582,0.12802334464541723,81.18774561912448,81.19622259554978,4.978401189726945,0.399097861808407,11.433216095060137
14,OBU,0.2224018724757847,0.1868037990859488,24.8839575457788,92.0604007015078,4.877222070110578,0.33147759495869983,9.527240926151167
15,RSU,0.6575702370304745,0.15500221622454516,47.823601319338024,88.6428544745999,3.8831487333338712,0.08365063049060711,11.81118579275181
16,OBU,1.0136191285946594,0.054659563293994275,67.3324917418119,88.42394744385983,3.6420073838385316,0.3431137170486557,19.757922850213006
17,OBU,1.1101283888934996,0.02956941810515913,73.60456792370618,87.10637382494818,4.527265013084666,0.0580633667922973,17.10296640931113
18,RSU,0.9614647271418535,0.011745432328395288,92.30710598177298,94.12622175137777,3.338636473519831,0.07436242087554133,16.23250838778751
19,OBU,0.6042516592925012,0.0546557152283718,83.11881875707171,80.60370828224694,4.44849440159828,0.19954116174205172,9.171519059675752
20,OBU,1.183560613267919,0.1974528660015167,73.74853219161916,83.9186327506066,0.601762594223074,0.0866997116701481,18.422303244165615
21,OBU,1.021891002587494,0.07053519349936603,74.05693405678818,80.85710179370409,3.060171323956757,0.3319954508258274,15.744163623190637
22,RSU,0.2872020455282193,0.10580323232902404,56.4880772429384,89.30987988830739,1.5577297408735138,0.23466559532599401,5.383274310837017
23,RSU,0.274416273531927,0.06509281606615691,77.28368070446282,80.75204656383116,1.2214452843940133,0.2852122325114171,12.429092116175235
24,RSU,0.21250834106888966,0.13706589832377392,44.46349109429013,84.93872000512916,0.5678624084052937,0.0717148411544847,18.157589954839835
25,OBU,1.3808471022573947,0.011929116119160732,24.697050717831495,81.16340787774388,2.696174142619917,0.2829415188967047,11.08781873037484
26,OBU,0.6472109181556152,0.09522317881798785,55.95875726233935,96.3058909320149,3.664320478466426,0.21208318959643807,18.39641237821136
