Device_Type,V2DT_Synchronization_Delay,Digital_Twin_Model_Drift,Computational_Overhead_of_Edge_Processing,V2DT_Data_Consistency_Score,Edge_Assisted_DT_Reconstruction_Time,Simulation_ID
OBU,65.3354446627084,4.73957430899776,434.5452689089416,84.0055945409398,39.09315609107606,1
OBU,88.3720468272743,2.9065583766237006,85.64877770585224,80.75265139088447,19.95966035286028,2
RSU,92.00999377829372,4.211210101753928,314.8531043096424,82.69303891952306,22.03882848484521,3
OBU,33.33607498365271,4.057400359608176,344.1896302361628,89.2339043234074,34.67527524104514,4
RSU,98.5770858904309,2.951285038672579,145.59292882797368,95.39998351102128,27.26370116344404,5
RSU,53.616930251789725,3.1555108643091567,415.7033455466279,93.65942682555765,36.59327777093878,6
RSU,48.84899803120637,4.761289406042553,274.51390338354014,83.28056603055079,35.91019004583751,7
OBU,84.36701232211816,0.805021832171192,329.7050023579748,94.42160703973153,24.98648244208539,8
OBU,83.37818372165314,1.564459571671298,313.7613857993028,99.44448255765452,10.029306497256428,9
RSU,59.1403877378776,2.1453070882417893,346.63629912359653,87.5791715632729,18.56106220972542,10
OBU,72.98293015353919,0.4312075461717541,169.63405819806115,96.83657901698776,8.145829839191599,11
OBU,16.254125715546635,3.5852177608196456,290.0042898804993,93.1557680125564,14.111531180582617,12
OBU,31.49287306749788,0.4780690457281049,66.60260214886301,93.29349951854044,10.664032734221674,13
RSU,68.23349465751963,3.204499903426718,248.38190421389007,95.29461796516016,18.476546385488348,14
OBU,73.52653461859494,0.4867650728875665,244.5447301802085,97.6783464167778,9.224139897973416,15
OBU,56.17294459548469,2.9196853996683743,191.20739711257556,80.15867455277974,28.850196332405652,16
OBU,99.71528295218508,2.5921235364263966,53.97757397248581,97.49749873863364,18.887479314123773,17
OBU,70.14212467841072,2.331341078279336,453.49285509446736,93.03446727447484,23.641406219821693,18
OBU,22.522466787986783,2.517451256244566,69.03923939821198,99.97526341327236,26.95470530645968,19
RSU,36.81450795918385,4.765461781904043,109.91466967129544,88.82485651079884,32.59791749378306,20
RSU,30.52094889390452,4.388387856009322,223.20833737840044,97.96750308993931,44.65706342382396,21
OBU,36.158057067397976,0.8718350032903291,163.2582239629627,93.16219264145516,23.70520070712003,22
RSU,83.25737795430359,1.8026528716068,148.92744840650795,82.77449246563972,9.39159144533164,23
OBU,46.58830546381774,4.4903930689136855,69.87309044181947,82.01326010842794,49.04304820784182,24
OBU,65.06624652543894,2.539880932744987,58.94527539078487,90.89884487149573,26.45155070056283,25
OBU,45.74678319657573,1.655125335789673,198.07450563922757,96.92081828560296,49.22195689026398,26
OBU,40.01254257330298,0.7597319058745501,361.3160234908614,81.53728720792563,42.4073252109654,27
RSU,52.68787130812043,4.555828419259894,225.5794603011745,97.82488445538972,5.075218504522997,28
RSU,91.40535785480836,2.016500732437329,282.0673202268299,91.30727070355049,29.788248699213234,29
OBU,80.04267001153381,4.499775979780058,116.30130272954491,89.01948316291903,26.52816319182533,30
OBU,57.11224576052727,0.4141445647285775,223.1716718332921,83.6320359625519,43.57950202032385,31
OBU,65.43363228327374,1.3355366489066325,496.0261242098627,88.06259659299991,9.00102381810042,32
OBU,55.14104162921096,3.0984005262005234,398.9859661703168,89.64318085348965,18.813164582643928,33
RSU,99.95490334618133,0.499143320168679,178.92044602774894,94.37035759497454,13.480295288890998,34
OBU,95.4914959143089,4.743161763999244,422.0908363031096,98.777048840283,12.85610603909093,35
RSU,63.46923382366324,3.509557116968118,261.0818578988235,84.50038739386322,5.941449411084286,36
OBU,68.20992029515183,3.439290295526447,477.7158830389428,94.32083184036358,29.34528327499561,37
OBU,76.26833099371143,3.0506648441036743,457.415235929899,93.55257239387214,49.29103981540893,38
RSU,60.76445190592622,3.1081920715869638,452.2237337583054,91.9624448078386,37.605368104346354,39
RSU,37.38094006593867,0.9659799394939136,459.885361819522,80.41335656229718,19.89058178208065,40
RSU,49.59308516598177,3.2939114859924965,469.4995003029861,99.43202452584968,25.755741231216973,41
OBU,87.37925313793006,1.887840286740258,228.194460013099,95.81488677086791,8.134884830497974,42
OBU,63.749318987116986,1.496908503663941,94.15193610577948,97.72120339237338,25.673364560038383,43
RSU,69.59403359785375,0.9543471592385472,251.8907510088737,94.27311378012092,35.91977531419022,44
OBU,49.59588434633938,2.353423298439109,230.32415608919197,98.722758316474,7.625933842134252,45
OBU,99.82152294858034,4.169552107430453,203.2057195510844,97.03099722870952,18.742691525964453,46
OBU,65.89641689343796,4.203436883567586,199.4989968337032,93.76665868781464,40.31725924589024,47
OBU,21.92706032776827,2.399968231197995,221.4806252732032,82.92449151901454,5.779244470056112,48
RSU,70.60705653528129,3.8736691807923553,263.4175964288663,87.56931746996909,47.87742343408284,49
OBU,14.392077324682631,0.2399174903571793,131.3268705387618,80.85492697127668,30.78885897805112,50
