RSU_ID,Location,Packet_Processing_Time_ms,AI_Inference_Latency_ms,V2X_Message_Throughput_Mbps,Edge_Processing_Load_%,Anomaly_Detection_Accuracy_%,Network_Latency_ms,Data_Offloading_Efficiency_%,Energy_Consumption_W
RSU_1,"33.3340, 67.9131",9.705243413210228,19.847532381384518,184.96252102467844,38.64098466365711,87.35103107365998,26.949228313831494,84.35066055586725,374.57449523089554
RSU_2,"37.3447, 65.5540",4.844946995407133,11.959260115153192,67.97890844439644,28.091096306300848,86.24734701322114,43.924837710130895,52.65896626362362,316.9340841458448
RSU_3,"39.1616, 65.8795",2.9774318088632743,11.712328539859893,128.93603296035067,53.7027001563769,90.19208433019827,23.082555508211676,86.20759784732823,434.2188746306241
RSU_4,"32.2107, 63.1278",8.539080753949369,8.681763186041142,88.24827389766304,78.82567374447379,94.97742969074915,37.22151133693061,61.94041725914718,189.08173474323834
RSU_5,"39.3163, 67.4754",7.2723182211263415,11.087292512714699,64.59750288102526,34.23671375983321,85.03503296288427,26.456189812525167,94.82182206118038,180.10034160070626
RSU_6,"34.4905, 67.5336",2.3174007132758168,11.853609223269519,83.51618749535558,71.0787268146555,85.31449425131856,45.58261643946759,93.61329109035998,197.06420051478185
RSU_7,"32.1404, 63.3512",6.390996323013089,18.875912356734673,188.32439637032462,32.81628673865384,89.84114500810627,24.968060210544092,77.86987585157091,443.2734007680302
RSU_8,"39.6249, 66.7397",8.147876069444013,13.89473245093227,128.92443064337948,31.148785066871234,91.9814260390989,11.078977172043523,70.05055254214705,235.5140341762588
RSU_9,"39.2033, 64.9869",7.754805149593367,13.031488180517794,156.99876741726152,30.270607357692874,92.88585005902593,36.784535373567735,54.2820952712605,184.11073939910332
RSU_10,"35.3274, 60.1992",7.574157282733228,15.193776356125314,71.05993437967001,29.524866888691427,98.4756095458952,14.89248508627087,64.40236415918821,456.2977935883557
