Simulation_ID,AI-UTFPS,DT-RAPD,GAI-EROI,GAI-PBMA,AI-SIRS,GAI-PDM,AI-CHAS,GAI-ECF,GAI-SPAE,AI-RSRAS,Sensor_Data_Accuracy,Edge_Processing_Speed,DT_Model_Update_Frequency,Real_World_Deviation,Augmented_Data_Quality,Compression_Ratio,AI-DT-RS,GAI-DAE,GAI-LEP,AI-PDTD,GAI-MUE,AI-ADTC
1,0.7601593731936055,0.636846319787534,0.9659862766815082,0.8670103980703147,0.8282766190407524,0.7788261022411229,0.8415730084050045,0.7500189788222363,0.9541074886390792,0.8321997536724102,0.8446643518699091,0.618534665115198,0.9552541946783621,0.8136273512625952,0.5705851415849597,0.7648694019266978,0.2657397775060783,0.5973123643566705,1.5910021443554268,0.8429151157780864,0.7306447045716082,0.4217345980111172
2,0.8158516996337795,0.7300004932100639,0.8634266809369013,0.7731627814055093,0.8068181391782909,0.7533168907430516,0.8141958018864498,0.7825974755637637,0.8709945420723194,0.878762884367698,0.8203097697812398,0.9970644921312083,0.8314412266345057,0.7714305253284253,0.5605691914502283,0.9446435349617026,0.2595870274391583,0.6742138511934165,0.9929850648231496,0.9167966827747427,0.7854155794409136,0.5332659234753587
3,0.8191955145663408,0.7590659921959351,0.926024378975987,0.9024271877852804,0.7308539209338182,0.7825748841115888,0.624305705411079,0.7834159760563475,0.921502108169708,0.9433552022029374,0.8683834246729578,0.8052294290283661,0.6973659119659206,0.6737478335400798,0.6755193218438096,0.7952934251716426,0.3504767984641782,0.9686727014509154,1.2266485536370457,0.9524742741243934,0.5546105247253231,0.47515725441720097
4,0.7985209462936917,0.8557350384472435,0.7935996717525499,0.6963956266365918,0.9019994615877028,0.6924677338122018,0.6703684045987803,0.9487827435700122,0.6582814705394715,0.8037897184429827,0.6329211380935227,0.6371836818835201,0.6843523268490896,0.8280732992505117,0.8743297621149757,0.804124779726517,0.30271312880819895,1.277601796344559,1.5451563875802103,1.1925837463643798,0.5503046640828535,0.439875567383539
5,0.7911074769923053,0.6773927970393201,0.8751701796644547,0.6504666204818511,0.7485697091408549,0.7827348320658479,0.9196233333414496,0.7726248447834216,0.886067956419408,0.8377855959650502,0.9172184584621039,0.7201575280910477,0.9047374824107125,0.6779376694618237,0.6185314496654976,0.5013445387874855,0.3381105705520523,0.6836584773932363,1.3695674721240483,0.7411281187201129,0.4535851958429495,0.2987861515429743
6,0.7726660311696939,0.7728675848988872,0.7683404121499184,0.6976235949865331,0.7062346257158836,0.5176918873623383,0.7971309222370835,0.9544440988936064,0.7970361982544808,0.7783271531875026,0.9538342821045127,0.5247635885341562,0.8200024005288231,0.9210256122041036,0.7255208596548187,0.7434206672214358,0.36023812692778245,0.8847789459968985,1.8699852073719272,1.1096662029137343,0.6096067317243168,0.3869915437350501
7,0.7292189160824406,0.645194477803964,0.9415866809557883,0.884278517708743,0.7691512335081254,0.7357684957818623,0.7564272776149965,0.8553781504856228,0.7473873472319544,0.8034821428973048,0.9815203137654738,0.6638719238461012,0.5857134098272043,0.5508067928538893,0.9944178674168751,0.987621440180918,0.6293764908295466,1.697789141809551,1.483961513476528,0.9246170788964767,0.5784631213468198,0.6368436382480869
8,0.7036798839669404,0.9276944315584212,0.7896200682366221,0.8446704159381422,0.7470617100074249,0.6567776886391619,0.8908569970302022,0.8648548042301378,0.6654734923033692,0.6243245337271535,0.7427599192102236,0.9911511565598243,0.8495475093577196,0.8134929000395005,0.864666729128267,0.8668006108222206,0.3541451912257782,1.0177967913554098,0.9988501670778867,0.9464199374475152,0.7363883000337675,0.4779729828571926
9,0.8891977862529935,0.7530236550620939,0.9129099852494836,0.7476972052749953,0.9740727635136538,0.6397315118886864,0.8881636367350565,0.7603228028829687,0.8360726320671115,0.7063638158264691,0.995120192705583,0.5777573216911936,0.8771704593715743,0.6706848567305052,0.7014353203457588,0.5571178168233908,0.41780019034766946,0.7996567974351116,1.7013824636375992,0.7559819532376941,0.4886872913070623,0.3334667304722319
10,0.7551266579173647,0.6434160486773617,0.9906670849392752,0.6899631339850608,0.9110102552788194,0.7583038649838246,0.8492283310625235,0.8444333570277166,0.7010863783250757,0.8714832619203581,0.5048089744670634,0.5405927825508741,0.5334695175926163,0.758184677937102,0.9902073763333328,0.6438410864576527,0.2843077729144183,1.8561648673045723,1.8162243162125018,1.3950822509707632,0.34346959379886993,0.36619650628117106
