V2DT_Synchronization_Delay (ms),Digital_Twin_Model_Drift (%),Computational_Overhead_of_Edge_Processing (ms),V2DT_Data_Consistency_Score,Sensor_Data_Falsification_Resilience (%),Immersive_Vetaverse_Visualization_Latency (ms),Edge_Assisted_DT_Reconstruction_Time (ms)
23.43524835364115,2.8510393889678376,5.227551848753957,84.79027194516466,96.0518542400441,32.58849102842251,138.64591318608234
17.197458958030822,2.2848661800130277,24.794408439037,86.9489223012981,94.76234831274935,27.996290954870766,126.42708261268189
17.739773130994195,2.314916920278386,22.814946819671732,84.72299736282763,94.64968448777583,40.3740178968911,176.69559484983097
27.8923833185519,1.1872954536236349,19.918021191025865,87.20619084324849,88.8474484008372,47.7971630190667,95.03367845147469
29.85912346877931,1.1860527446485964,24.233624051631047,87.35247710236024,86.52256764765532,56.75423479159413,160.63439104296313
11.20769131035427,2.4826442593711673,22.977975935825587,85.7667092036251,98.8591789407817,43.85135648181538,140.39141306280573
28.232047913700136,0.729036306956419,26.288140014485567,99.66547370728664,97.20706879054026,55.58094732660891,149.12561109770573
24.304071003362576,3.378682149557368,16.61475593848003,81.78094141948117,88.75064955093939,26.165947418022967,147.44589916585414
24.345472470275933,4.704419728619021,7.34758976134663,83.66076042344218,85.66450301998758,37.812510926321416,169.10881971984878
45.933748497624485,3.6353632619043417,17.50351507168711,84.90234891847898,94.80350766623472,36.237788806181456,192.61111809657373
42.59475035475676,0.5996125101826479,13.592242611475232,97.14159053400121,90.47619183447985,55.899673163335,89.57938443668658
30.00283313155704,2.717747173795269,19.466030090789786,94.25433179726396,90.37604864580844,30.112534677863433,106.05461969988303
41.42601618982604,3.286689169217341,25.602870345847375,84.48974673876745,87.71742293762637,25.841744373303683,106.5368024995685
46.32109071122184,4.487423226618431,24.68617344935766,99.01214584556827,90.09513294589449,45.92099469909163,149.6224401322121
35.288712975202046,3.702009616272073,12.571336246870434,86.93430793675324,92.64135519695363,57.92345441586219,50.884282319326815
12.481620214621891,2.3728438628160284,9.144850108105022,99.11775239124111,98.94522735299776,50.52337949495322,76.95101917707957
34.96852638738521,2.3133781856308047,19.552817908996992,97.38035158723353,93.07335655831102,40.12446106712019,77.68833032750382
11.963238278726354,2.5905934662139805,19.824961631691586,94.25676257971094,93.17423089818566,38.502364831453164,175.8985136399595
19.440548179738567,1.4204644374117443,7.5619972842514604,81.29331441500622,94.25605264592765,56.659481496954804,101.42363683638314
45.884794574063335,3.757782709349512,21.959760431720312,92.00984040817947,91.7780121129252,47.01188706861136,192.12436808040692
45.91160324734738,0.4561041861846862,11.41763557378712,93.60622781467099,87.13690706656796,21.00070942190525,124.10750371398352
