Simulation_ID,DT_Failure_Recovery_Time,AI_Anomaly_Detection_Score,Adaptive_DT_Resource_Allocation_Efficiency
1,1.6869021545015712,98.72626164988102,85.31429185686734
2,2.4359285983328913,96.97619541025003,91.3641041126378
3,2.151592124354827,98.4554904740777,88.14355981076326
4,1.9782560294561475,98.05344615384884,90.08570691164702
5,1.4028242325751674,95.38109980929977,94.07566473926093
6,1.4027928764370634,98.29686811520806,87.49292229148875
7,1.2755086958186592,90.79643251846727,89.1038292303563
8,2.3260289895074155,91.7638457617723,92.55551138543049
9,1.9814495152661715,90.40704560019485,87.28798165491622
10,2.120494351134859,92.92797297686938,85.76979909828793
11,1.2267598425845432,93.49809560720534,87.89751452913768
12,2.4608828078105924,92.44214128596506,86.61221287254004
13,2.282175433040548,97.45863758236736,94.29697652342573
14,1.476040843881759,93.2107799402423,93.08120379564417
15,1.4363724573692307,92.52841058718643,91.33403756510424
16,1.438425862809464,94.88426474842424,93.71460590187718
17,1.595514915847399,91.26831802477287,93.03672076899115
18,1.8821833611219092,97.21977282678635,86.86570058886036
19,1.7615285242347505,90.67095579311794,93.92558998489977
20,1.5785978822574545,98.88198242940466,90.39342241915651
21,1.9954087631390933,96.95020292366992,93.07440155164062
22,1.3813420188476544,91.78844113380755,93.96091299923494
23,1.5797880430957836,90.04969905411242,88.18003474971864
24,1.676270396281799,97.3391528560935,86.10051924527677
25,1.7928909794821468,96.36171609462855,87.27935162541942
26,2.2207287498109176,96.56106451236889,89.27107788626256
27,1.4595759168058677,96.94143312017351,93.18014765922493
28,1.868504769937695,90.66640186560682,93.60730583256344
29,1.9701389395206552,93.22619155689846,85.06952130531191
30,1.260385536535997,91.04282153572616,90.10747302577566
31,1.9898083074718698,97.76793083288034,89.17411003148779
32,1.421681360793479,95.60968314144802,87.2210781047073
33,1.2845670708808634,92.97808222367384,86.19865367333682
34,2.433551198429333,90.57202515257421,88.37615171403628
35,2.4553216429969273,92.79884089544096,94.4290970391252
36,2.2509165525513994,92.92664989824073,88.23202932020756
37,1.5959978999253819,96.56645560504258,90.18790621743366
38,1.326973748208299,95.73801724219692,92.03018958895177
39,2.089502934465804,97.98491468318694,88.63629602379294
40,1.7721982418614817,94.24993432645755,94.71782082720961
41,1.3586497052982125,91.07634821344472,94.62447294942112
42,1.8437299831446512,96.41920308500696,87.51782295825365
43,1.2447050774497839,96.84706543755208,89.97248505892385
44,2.3821165227024164,95.05149477812546,88.0087830981677
45,1.536413976080022,96.93870461959105,87.84840494377468
46,2.0612789696601768,94.44416036727952,85.36886947354533
47,1.6052243989162343,94.70459546443794,91.09564333979897
48,1.876088427531154,93.84786916522695,90.02679023228862
49,1.9107233631462637,90.22877214069686,85.5147875124999
50,1.440310792183185,90.97102284293975,87.78646464236611
