Simulation_ID,AI-UTFPS,DT-RAPD,GAI-EROI,GAI-PBMA,AI-SIRS,GAI-PDM,AI-CHAS,GAI-ECF,GAI-SPAE,AI-RSRAS
1,0.7601593731936055,0.636846319787534,0.9659862766815082,0.8670103980703147,0.8282766190407524,0.7788261022411229,0.8415730084050045,0.7500189788222363,0.9541074886390792,0.8321997536724102
2,0.8158516996337795,0.7300004932100639,0.8634266809369013,0.7731627814055093,0.8068181391782909,0.7533168907430516,0.8141958018864498,0.7825974755637637,0.8709945420723194,0.878762884367698
3,0.8191955145663408,0.7590659921959351,0.926024378975987,0.9024271877852803,0.7308539209338182,0.7825748841115888,0.624305705411079,0.7834159760563475,0.9215021081697079,0.9433552022029374
4,0.7985209462936917,0.8557350384472435,0.7935996717525499,0.6963956266365918,0.9019994615877027,0.6924677338122018,0.6703684045987803,0.9487827435700122,0.6582814705394715,0.8037897184429827
5,0.7911074769923053,0.6773927970393201,0.8751701796644547,0.6504666204818511,0.7485697091408549,0.7827348320658479,0.9196233333414496,0.7726248447834216,0.886067956419408,0.8377855959650502
6,0.7726660311696939,0.7728675848988872,0.7683404121499184,0.6976235949865331,0.7062346257158836,0.5176918873623383,0.7971309222370835,0.9544440988936063,0.7970361982544808,0.7783271531875026
7,0.7292189160824406,0.645194477803964,0.9415866809557885,0.884278517708743,0.7691512335081254,0.7357684957818623,0.7564272776149965,0.8553781504856228,0.7473873472319544,0.8034821428973048
8,0.7036798839669404,0.9276944315584212,0.7896200682366221,0.8446704159381422,0.7470617100074249,0.6567776886391619,0.8908569970302022,0.8648548042301378,0.6654734923033692,0.6243245337271535
9,0.8891977862529935,0.7530236550620939,0.9129099852494835,0.7476972052749953,0.9740727635136538,0.6397315118886864,0.8881636367350565,0.7603228028829687,0.8360726320671115,0.7063638158264691
10,0.7551266579173647,0.6434160486773617,0.9906670849392751,0.6899631339850608,0.9110102552788194,0.7583038649838246,0.8492283310625235,0.8444333570277166,0.7010863783250757,0.8714832619203581
11,0.7181698849342787,0.6952445172049911,0.8704221126944726,0.6817626121840082,0.8328296872898057,0.8817343344934483,0.7121993768005827,0.9805206000453209,0.7524979118222936,0.8577505774582614
12,0.7968199184600023,0.8763634979698056,0.78541048590892,0.7423074366576516,0.7772856689833681,0.5321006577428943,0.7450160005462311,0.8418848749086313,0.8644646156130509,0.9102333048535082
13,0.8501478465245595,0.9488333584243568,0.906679465574879,0.9026309170461255,0.7561561751356973,0.5336515619313207,0.6374382707619757,0.9508317343204287,0.8037119838755891,0.7138723378987691
14,0.8910492549188984,0.6862644956713816,0.9894725953771472,0.9361257059190424,0.7714200622954409,0.6487550942322888,0.8023977063227921,0.9744314528651459,0.7557554692048273,0.6429356152186522
15,0.805486502652631,0.8140673383678985,0.9018964205306712,0.8758865275066654,0.7134360168340546,0.5577301997437302,0.7475385488171432,0.7530908938418237,0.7966652382538637,0.8602497850656521
16,0.9060490536971666,0.7222323957883813,0.7855626669512739,0.7885893189621236,0.7303093535876514,0.7917448115460244,0.6024102561652337,0.9691214788927471,0.6935736823870939,0.6943658902473641
17,0.723603733018241,0.7574796077525973,0.9795023459196583,0.9234408633517346,0.9161109565607359,0.8465390844607995,0.6606435476888903,0.9032911961745667,0.7088156238284717,0.9310231799583633
18,0.7105862224137728,0.8435888776831078,0.8776956850662103,0.9476473184097778,0.8929042963224028,0.8710027560765347,0.673957359946055,0.9835026262556252,0.7493575752947768,0.8644488931311389
19,0.7307061402952614,0.689833307310503,0.842945172498266,0.7125160223208017,0.7775941723668093,0.8328046810607499,0.8788406890793752,0.7534924824799255,0.9536607510373827,0.6325131534336457
20,0.8248654708814777,0.6374485234639166,0.9645772806924875,0.6504038300365915,0.8717410830378542,0.8893088091870269,0.7201725179540914,0.8572203474231627,0.7284083387169379,0.7282453100864665
21,0.9323148997529234,0.8217936513772712,0.814801184088297,0.8608288173468277,0.7154721274539662,0.8528015624927119,0.6191155617964087,0.7975794209924761,0.8583825033049772,0.8418730672832269
22,0.9476518425143589,0.8287443202989738,0.7801166698889811,0.8080008855562244,0.8443758757574618,0.6099270663012164,0.7566867081650711,0.7977095950214146,0.8817903145159545,0.793731139259751
23,0.8822819296539695,0.8813959677041949,0.950014834955696,0.7215012324513694,0.9817339699856702,0.7676051484631216,0.6906887268486682,0.7620468090035211,0.7989842175705512,0.6488879938101153
24,0.7587665337417117,0.8066649302876499,0.7532446805595522,0.9128080880081227,0.7193212602149812,0.583063982942575,0.7287542549532191,0.9326347608265594,0.8298061935902988,0.7215265450758173
25,0.7248156045071084,0.6287966681685185,0.8080769383760171,0.8374423240904969,0.82041477187384,0.5297217342524962,0.9064362048976553,0.7831321968973431,0.8567838525602083,0.6551157594030323
26,0.7037079250044465,0.8546195678641544,0.8715438382390246,0.9468416404703945,0.8990930411839628,0.8862819943331979,0.7827675413144487,0.825260653801189,0.8729631085032113,0.9020903412537911
27,0.9660332112837583,0.6409979035570172,0.8976505016956583,0.934851202109588,0.7328322218938836,0.787535027791505,0.7857165180924635,0.9795056689607545,0.8113342136720617,0.8384845634092024
28,0.9597837276617506,0.6475216652973163,0.7683841509025298,0.7579172090615177,0.7957515029923412,0.5787778385431839,0.8049216348060071,0.9128747916375759,0.9610992042548518,0.7369790955885391
29,0.93850432938905,0.7320908157809698,0.8468309655211186,0.7058085525217789,0.8052042233234995,0.705170508226693,0.6503319487068059,0.7900907616112158,0.8212396485640352,0.8855067524699147
30,0.7812014818878213,0.871578200663081,0.8285587779511419,0.7832555662638953,0.8336944121544052,0.7950027908946491,0.864610666539464,0.8025587490813386,0.8167711943446104,0.8117024661568019
31,0.8467881955729724,0.8546938727520528,0.8215260672256689,0.6739541719903763,0.8554660985842979,0.7411111887068056,0.9076384217751426,0.780312734661248,0.9111721850181443,0.7872743549531624
32,0.7106914176525125,0.8259806765915279,0.7756449117705222,0.9529100239688746,0.8288004016342553,0.6994931015002396,0.6100402983867944,0.8949594029906818,0.7910424936724394,0.7480437111669316
33,0.9004963117966948,0.7278592443470273,0.8024925418433285,0.6946992081744883,0.8650917767461774,0.5262360604922917,0.741339446198511,0.892073803478281,0.8065713957010343,0.7192076499858473
34,0.7394809383633495,0.8119559552867668,0.9524642001840367,0.9213719474655254,0.8263341184911595,0.8820806016240514,0.8969933399892263,0.9673848533416923,0.6567726395356716,0.8939085035902388
35,0.828807483539852,0.8878198096366419,0.9548113566407737,0.7089281600119732,0.7708973247432173,0.6924547042661375,0.7196459636491355,0.9740597588514069,0.7209898004801687,0.6881802959900626
36,0.9863420574825015,0.6177817143867907,0.833392912847247,0.8090501911263055,0.9790457643767281,0.5901399522489921,0.8167591500721954,0.7708592896331272,0.7119716756346757,0.6777131728686487
37,0.7360476334417918,0.8761696412905745,0.7818622168263794,0.8945470730916728,0.7198617490875617,0.6816490740725438,0.6485337169328472,0.7541941686361615,0.6843953899871219,0.6189526265402656
38,0.9716952300726125,0.8665801898329764,0.7668295613003716,0.7663840984251868,0.7016179664244228,0.7636637230283603,0.9077114896967616,0.8640960683041383,0.9029320491891141,0.8570560304953433
39,0.7379270234024253,0.8018289926734539,0.8174234872171103,0.6506801498217908,0.8763974671996398,0.5034043540667524,0.6304465740978846,0.8596834197918412,0.8925449075866638,0.9376137463579958
40,0.7504612523100996,0.7064058340899112,0.8121204308562897,0.6795756110649976,0.8099925395045845,0.6006087927718985,0.9029505347247151,0.7816730693850726,0.6949538982966443,0.8219587543938095
41,0.9638728806542249,0.748183237299766,0.760294743807148,0.7929648010608529,0.8398937070952135,0.7545986805853049,0.808819387529635,0.9664842745812715,0.9127061978182568,0.74506861067929
42,0.7762253491962237,0.6322497151449157,0.7884675462104656,0.8083348185266356,0.737752098587518,0.6529874624829016,0.8755770490422267,0.8660360416803345,0.9253678156606948,0.6970511193767531
43,0.9692027999955971,0.6618306645131595,0.9004615932745783,0.8664538905101205,0.8666064734623368,0.7024434918930225,0.8103987054031117,0.9048132602574877,0.9300795148681551,0.7079409340401682
44,0.7341535579759538,0.7606281521044177,0.9384274232841299,0.8701810921896856,0.7601199359864483,0.6386904830051898,0.8907205551565669,0.9586546061205102,0.9246470482266275,0.9243663349069575
45,0.7492771989333076,0.8992168247580876,0.9756956720377173,0.9141876312189021,0.849414925678639,0.8161582284533482,0.6405775019109388,0.7909076438110914,0.8552543483268067,0.6139003915179
46,0.7491061823143512,0.9344910011071741,0.8686248308582223,0.9588814441627393,0.7200625093724846,0.8410937044907509,0.6431868483207683,0.9969227315109465,0.8683244781197242,0.9072915429990337
47,0.8871367501984723,0.6337388726611987,0.8149749045109552,0.7962472668865797,0.912639649125556,0.7513616706610629,0.8636692196641634,0.8308923910125637,0.8004288788832303,0.8270263669264386
48,0.9704259716564075,0.6683257181232438,0.9449780709649318,0.8705402908469781,0.8441998973602409,0.6455898568079611,0.693530546655977,0.8029565370473003,0.8999336685188525,0.6742755006425019
49,0.8677000069940206,0.905792594857619,0.9739773417032069,0.7430914201964474,0.9408890073959275,0.7104571422860096,0.7424893528504843,0.8795485030604794,0.8742355124480939,0.9013655776311778
50,0.9270494456480518,0.7633974066010347,0.928906241497476,0.9137765405050597,0.9393088898083861,0.8144725665989676,0.812683694053115,0.9601897452071788,0.8808036698754946,0.8488212839222703
